
INFO_NOFUNDS				;Похоже, у вас недостаточно средств для оплаты этого
DEAL_IMPROVE			;Ваше предложение заслуживает дальнейшего рассмотрения — можете ли вы улучшить свои условия?
DEAL_REJECTCOMPLAIN		;Не запугивайте нас! Мы не боимся ваших угроз!
DEAL_REJECTDEMAND_RESPONSE	;Как вы смеете отвергать наше вполне разумное ультиматум!\n\nЭто будет вашей последней ошибкой!
'DEAL_REJECTCOMPLAIN		;Это предложение совершенно одностороннее! Мы НЕ примем его!
'DEAL_REJECTCOMPLAIN		;Не издевайтесь над нами! Предложите справедливую сделку, и мы можем рассмотреть её

MUTUALDEFENSE_ACCEPT			;Мы согласны, взаимный оборонительный пакт с вами был бы крайне полезен.\n\nДа здравствует наш альянс!
MUTUALDEFENSE_REJECT			;Благодарим за ваше предложение, однако в данный момент мы не заинтересованы в заключении Пакта о взаимной обороне.
MUTUALDEFENSE_REQUESTHELP		;На нас нападают {0}! Мы призываем вас почтить свой договор с нами и объявить им войну.\n\nВы встанете на нашу сторону?
MUTUALDEFENSE_HONORREQUESTHELP		;Мы стоим плечом к плечу с нашими Друзьями и союзниками — мы объявляем войну {0}!
MUTUALDEFENSE_HONORREQUESTHELP_RESPONSE	;Мы глубоко ценим вашу преданную поддержку, друг!
MUTUALDEFENSE_DECLINEREQUESTHELP	;Извините, но вы остались один...
MUTUALDEFENSE_DECLINEREQUESTHELP_RESPONSE	;Мы не забудем, как ты предательски бросил нас!
PROTECTORATE_ACCEPT			;Мы с благодарностью принимаем ваше предложение о протекторате!
PROTECTORATE_REJECT			;Извините, но в данный момент мы не желаем вступать в договор о протекторате
FREETRADE_ACCEPT			;Мы с радостью принимаем ваше предложение о Соглашении о свободной торговле!
FREETRADE_REJECT			;Извините, но в данный момент мы не заинтересованы в Соглашении о свободной торговле


SUBJUGATION_RELEASE_RESPONSE		;Свобода, наконец-то!
SUBJUGATIONDEMAND_ACCEPT_RESPONSE	;Добро пожаловать в число наших новых рабов! Поражение горько на вкус, не так ли?
WAR_END_ACCEPT_RESPONSE			;Мудрый выбор

TRADESANCTIONS_IMPOSE			;Мы вводим торговые санкции против вас. С этого момента вся торговля между нашими двумя империями прекращается!
TRADESANCTIONS_IMPOSE_RESPONSE_ANGRY	;Это возмутительно! Вы заплатите за это предательство!
TRADESANCTIONS_IMPOSE_RESPONSE_NEUTRAL	;Что ж! Это причинит вам больше боли, чем нам!
TRADESANCTIONS_IMPOSE_RESPONSE_SURPRISED	;Торговые санкции?! Что мы сделали не так? Я думал, мы друзья!
TRADESANCTIONS_LIFT			;Мы снимаем торговые санкции против вас. Теперь мы возобновляем обычную торговлю
TRADESANCTIONS_LIFT_RESPONSE		;Хм! Нам не нужна ваша торговля,... но мы принимаем это изменение
TRADESANCTIONS_REQUESTLIFTOTHER		;Мы требуем, чтобы вы немедленно восстановили торговлю с {0}!
TRADESANCTIONS_REQUESTLIFTOTHER_ACCEPT	;Как вы и просили, мы возобновляем торговлю с {0}
TRADESANCTIONS_REQUESTLIFTOTHER_REJECT	;Мы не видим причин возобновлять торговлю с {0}
TRADESANCTIONS_REQUESTIMPOSEJOINT	;Мы просим вас прекратить торговлю с {0}
TRADESANCTIONS_REQUESTIMPOSEJOINT_ACCEPT	;По вашему запросу мы прекратили всю торговлю с {0}
TRADESANCTIONS_REQUESTIMPOSEJOINT_REJECT	;Мы не видим необходимости прекращать торговлю с {0}

WAR_DECLARE				;Мы официально объявляем войну вашей никчемной империи. Ваши колонии ждут освобождения от вашего тиранического гнета.
'WAR_DECLARE_RESPONSE_EAGER		;Мы с нетерпением ждем, когда превратим вашу никчемную империю в прах!
'WAR_DECLARE_RESPONSE_NEUTRAL		;Да будет так. Готовьтесь к обороне!
'WAR_DECLARE_RESPONSE_SURPRISED		;Тут должна быть какая-то ошибка! Что мы сделали, чтобы оскорбить вас?! Разве мы больше не друзья?

WAR_DECLARE_REQUESTJOINT		;Мы официально просим вас объявить войну {0}
WAR_DECLARE_REQUESTJOINT_ACCEPT		;По вашему запросу мы объявляем войну {0}
WAR_DECLARE_REQUESTJOINT_REJECT		;Мы не объявим войну {0}. Деритесь сами на своей войне!

WAR_END					;Мы предлагаем положить конец этой бессмысленной войне.\n\nЧто вы скажете?
WAR_END_SUBJUGATIONDEMAND		;Мы согласны прекратить эту войну лишь при условии, что вы согласитесь поработить себя и стать нашим Подчинённым Доминионом.\n\nНебольшая цена за спасение ваших жизней, не так ли?
WAR_END_SUBJUGATIONOFFER		;Мы предлагаем подчиниться и стать рабами вашей могущественной Империи, если вы согласитесь положить конец этой разрушительной войне против нас.\n\nВаши смиренные рабы ждут вашего ответа — что вы скажете?

WAR_END_REQUESTOTHER			;Пожалуйста, прекратите войну с {0}
WAR_END_REQUESTOTHER_ACCEPT		;По вашей просьбе мы прекратим войну с {0}
WAR_END_REQUESTOTHER_REJECT		;Мы не прекратим нашу борьбу с жалкими {0}!

SUBJUGATIONDEMAND_ACCEPT		;Да, мы принимаем поражение и признаем ваш статус нашего правителя
SUBJUGATIONDEMAND_REJECT		;Нет, мы не подчинимся вашему возмутительному требованию подчиниться!
SUBJUGATIONOFFER_ACCEPT			;Отлично, мы принимаем ваше признание поражения. Мы с нетерпением ждем получения от вас нашей регулярной дани.\n\nИдите теперь и постарайтесь не быть такими зачинщиками беспорядков!
SUBJUGATIONOFFER_REJECT			;Нет, ты должен пострадать ещё больше, прежде чем эта война закончится

SUBJUGATION_REQUESTRELEASE		;Наш народ не выносит вашего деспотичного правления! Мы умоляем вас освободить нас от рабства!
SUBJUGATION_RELEASE			;Мы освобождаем вас от рабства. Используйте свою свободу с умом
SUBJUGATION_REFUSERELEASE		;Нет, вы останетесь нашими рабами. Вы довольно хорошие рабы, не находите?

WARNING						;Что это?
WARNING_INTELLIGENCEMISSIONS			;Мы предупреждаем вас: немедленно прекратите свои предательские тайные миссии против нас! Мы не потерпим вашего дальнейшего вмешательства в наши дела!
WARNING_INTELLIGENCEMISSIONS_RESPONSE_FRIENDLY	;Мы не в курсе никаких миссий против вас, мой друг, но мы немедленно расследуем эту ситуацию.
WARNING_INTELLIGENCEMISSIONS_RESPONSE_NEUTRAL	;Будьте уверены, мы расследуем этот инцидент
WARNING_INTELLIGENCEMISSIONS_RESPONSE_ANGRY	;Секретные миссии? Какие миссии? Если бы они были, мы бы вам о них точно не рассказали. Но миссий всё равно нет... Так что перестаньте быть таким параноиком!
WARNING_ATTACKS					;Мы официально предупреждаем вас прекратить все военные атаки против нас! Если вы не остановитесь, мы будем вынуждены ответить сокрушительной силой!
WARNING_ATTACKS_RESPONSE_FRIENDLY		;Как ужасно, примите, пожалуйста, наши искренние извинения за любые чрезмерно ретивые действия наших военных командиров
WARNING_ATTACKS_RESPONSE_NEUTRAL		;Мы расследуем этот инцидент и примем меры против виновного военного командира
WARNING_ATTACKS_RESPONSE_ANGRY			;Атаки? Мы бы не стали тратить своё время на атаки против такой жалкой империи, как ваша.

WARNING_REMOVEFORCESSYSTEM					;Мы не потерпим присутствия ваших сил на нашей территории.\n\nНемедленно выведите военные корабли из системы {0}!
WARNING_REMOVEFORCESSYSTEM_RESPONSE_COMPLY	;Мы не видим необходимости выводить наши корабли из системы {0}.
WARNING_REMOVEFORCESSYSTEM_RESPONSE_REFUSE	;Мы выполним вашу просьбу. Наши корабли покидают систему {0}.
WARNING_REMOVEFORCESSYSTEM_RESPONSE_NOFORCESPRESENT	;Неужели вы ошибаетесь? У нас нет никаких военных сил на вашей территории.

HISTORY_OFFER_LOCATIONHINT		;Наши исследования выявили местонахождение важных исторических предметов.\n\nХотите узнать больше?
HISTORY_LOCATIONHINT			;Наши источники сообщают нам о {0}.\n\nТам можно найти важные предметы.
HISTORY_OFFER_STORYCLUE			;Мы обнаружили нечто важное, что, по нашему мнению, вы должны увидеть собственными глазами.\n\nМы привлекли ваше полное внимание?
HISTORY_OFFER_STORYMESSAGE		;У нас есть важное предупреждение, которое вы должны услышать.\n\nМы привлекли ваше полное внимание?



MININGRIGHTS_OFFER		;Мы рады предложить вашей империи права на добычу полезных ископаемых на нашей территории.\n\nТеперь вы можете строить добывающие станции в наших владениях.
MININGRIGHTS_CANCEL		;Ваши права на добычу полезных ископаемых в наших границах отменены.\n\nВы должны вывести все свои добывающие станции из нашей территории!
MILITARYREFUELING_OFFER		;Мы рады разрешить вашим военным кораблям пополнять запасы топлива на наших колониях и космопортах.\n\nНадеемся, что ваш флот сочтет это соглашение полезным.
MILITARYREFUELING_CANCEL		;Ваши права на военную заправку отменены.\n\nВаши военные корабли больше не могут заправляться на наших колониях и космопортах.



CANCELPIRATEPROTECTION				;Мы больше не нуждаемся в вашей «защите». Наше соглашение с вами аннулировано.
CANCELPIRATEPROTECTIONPIRATE				;Мы больше не желаем защищать вас. Наше соглашение о защите с вами отменено.
PIRATE_PROTECTIONPROPOSE_OFFER_ACCEPT		;Мы принимаем ваше предложение о защите. Мы согласны выплачивать вам {0} кредитов в месяц.
PIRATE_PROTECTIONPROPOSE_OFFER_REJECT		;Мы отвергаем ваше предложение о «защите».

PIRATE_EXTORTPROTECTION		;Приветствуем наших жертв! Вы, вероятно, заметили, что мы собираемся напасть на вас. Но за небольшую плату в {0} кредитов в месяц мы могли бы избежать этого ненужного насилия.\n\nКонечно, вам следовало заплатить раньше. Теперь, когда наше нападение уже началось, у нас нет иного выбора, кроме как повысить цены.\n\nИтак, вы готовы заплатить сейчас?

PIRATE_TRUCEPROPOSE		;Вы мудры, что ищете перемирия с нами. Если вы согласитесь на перемирие, мы сможем обеспечить вашу безопасность на протяжении всей нашей территории.
PIRATE_TRUCEPROPOSEINITIATE		;Кто знает, какие скрытые опасности ждут вас при путешествии по беззаконным регионам космоса?\n\nСогласившись на перемирие, мы сможем обеспечить вашу безопасность на всей территории нашего домена.\n\nЧто вы скажете?
PIRATE_TRUCEACCEPTRESPONSE		;Отлично! Мы позаботимся о том, чтобы ваши корабли не подверглись никаким «неприятным случайностям», пока действует наше перемирие...
PIRATE_TRUCEREJECTRESPONSE		;Как желаете. Но без перемирия мы не можем гарантировать вашу безопасность...




'======================================
'*** DISTANT WORLDS 2 ENTRIES BELOW ***
'======================================

GREETING_INTRODUCTION			;Приветствуем! Мы — {0}
GREETING_FRIENDLY			;Поделитесь с нами своими мыслями, друг
GREETING_NEUTRAL			;Вы хотели поговорить со мной?
GREETING_ANGRY				;Чего вы хотите?

OFFER_DEAL				;Примите ли вы эту сделку?
OFFER_DEAL_RESPONSE		;Какой тип сделки вы предлагаете?
'PIRATEPROTECTION_DEAL				;Кто знает, какие скрытые опасности подстерегают вас при путешествии по беззаконным просторам космоса?\n\nЗа вполне разумную ежемесячную плату в размере {0} кредитов мы гарантируем, что наши склонные к преждевременному открытию огня капитаны кораблей не нанесут ущерба вашим судам.\n\nМы настоятельно рекомендуем вам принять наше предложение и тем самым предотвратить любые неприятные инциденты...
PIRATEPROTECTION_DEAL				;Было бы прискорбно, если бы какие-либо ваши корабли или базы пострадали.\n\nЗа небольшую ежемесячную плату в размере {0} кредитов мы можем гарантировать, что наши склонные к стрельбе капитаны кораблей не нанесут ущерба вашим судам.\n\nМы настоятельно рекомендуем вам принять наше предложение и тем самым предотвратить любые неприятные инциденты...
DEAL_BEGIN				;Что вы предлагаете?
DEAL_ACCEPT				;Мы принимаем ваше предложение
DEAL_ACCEPT_RESPONSE		;Отличный результат!
DEAL_REJECT_RESPONSE		;Какое разочарование...
DEAL_REJECT				;Это предложение не отвечает нашим интересам — сделки не будет

SWAP_MAPS		;Какую карту вы хотели бы обменять?
WAR_END_ACCEPT				;Мы согласны, что эта война должна закончиться — мы немедленно прекратим боевые действия
WAR_END_REJECT				;Нет, мы будем сражаться дальше.

WAR_END_ACCEPT_BECOMEVASSAL				;Мы согласны стать вашими вассалами. Мы немедленно прекратим военные действия и начнем ежемесячные выплаты дани.
WAR_END_REJECT_BECOMEVASSAL				;Нет, мы отказываемся подчиняться вам в качестве вашего вассала.

WAR_END_ACCEPT_ACCEPTVASSAL				;Мы согласны на вашу капитуляцию и подчинимся в качестве нашего вассала. Мы с нетерпением ждем ваших ежемесячных дани.
WAR_END_REJECT_ACCEPTVASSAL				;Нет, мы отвергаем ваше предложение о подчинении в качестве нашего вассала. Эта война еще не окончена.

TREATY_ACCEPT			;Мы принимаем ваше предложение в размере {0}
TREATY_REJECT			;Нет, в данный момент мы не заинтересованы в {0}
TREATY_REJECT_TOOSOON_NEUTRAL			;Нет, мы не заинтересованы в {0}. Слишком недавно произошли последние изменения в наших отношениях.
TREATY_REJECT_TOOSOON_ANGRY			;У нас нет интереса к {0} с вами! Кроме того, слишком недавно произошло последнее изменение в наших отношениях.
TREATY_REJECT_TOOSOON_FRIENDLY			;Извините, но мы не заинтересованы в {0}. Слишком недавно произошло последнее изменение в наших отношениях.
TREATY_ACCEPT_NEUTRAL			;Мы принимаем ваше предложение в размере {0}
TREATY_REJECT_NEUTRAL			;Нет, в данный момент мы не заинтересованы в {0}
TREATY_ACCEPT_ANGRY			;Мы принимаем ваше предложение в размере {0}
TREATY_REJECT_ANGRY			;У нас нет интереса к {0} с вами!
TREATY_ACCEPT_FRIENDLY			;Мы с радостью принимаем ваше предложение в размере {0}!
TREATY_REJECT_FRIENDLY			;Извините, но в данный момент мы не заинтересованы в {0}

PROTECTION_ACCEPT		;Мы принимаем вашу просьбу о защите. Ежемесячная плата составляет {0} кредитов
PROTECTION_ACCEPT_NEUTRAL		;Мы принимаем вашу просьбу о защите. Ежемесячная плата составляет {0} кредитов
PROTECTION_ACCEPT_ANGRY		;Ваша слабость была замечена. Наша «защита» будет стоить вам {0} кредитов в месяц. Вы можете идти.
PROTECTION_ACCEPT_FRIENDLY		;Мы принимаем вашу просьбу о защите. Ежемесячная плата составляет {0} кредитов
PROTECTION_REJECT			;Нет, в настоящее время мы не заинтересованы в защите
PROTECTION_REJECT_NEUTRAL		;Нет, мы не хотим заключать с вами соглашение о защите
PROTECTION_REJECT_ANGRY		;Нет, мы не хотим защищать вашу никчемную империю!
PROTECTION_REJECT_FRIENDLY		;Нет, мы не хотим заключать с вами соглашение о защите

CANCELTREATY				;Мы отменяем наш {0} с вами
CANCELTREATY_RESPONSE_FRIENDLY		;Мы опечалены тем, что вы решили положить конец этому взаимовыгодному сотрудничеству
CANCELTREATY_RESPONSE_NEUTRAL		;Как пожелаете
CANCELTREATY_RESPONSE_ANGRY		;Мы рады избавиться от этого бесполезного договора!
CANCELPROTECTION_RESPONSE_FRIENDLY		;Возможно, так даже лучше
CANCELPROTECTION_RESPONSE_NEUTRAL		;Мы будем скучать по этим ежемесячным кредитам. Возможно, мы найдем другие способы их получения...
CANCELPROTECTION_RESPONSE_ANGRY		;Глупец! Ты правда думаешь, что сможешь выжить без нашей «защиты»?!

TREATY_PROPOSAL				;Что вы предлагаете?
TREATY_ACCEPTRESPONSE			;Отлично! Мы приветствуем наших новых союзников
TREATY_REJECTRESPONSE			;Какое разочарование...
PROTECTION_ACCEPTRESPONSE		;Отлично! Мы с нетерпением ждем ваших ежемесячных платежей
PROTECTION_REJECTRESPONSE		;Глупый выбор. Вы заплатите так или иначе...

GIFT_GIVE				;Пожалуйста, примите этот подарок в виде {0} кредитов как знак нашего доброго расположения
GIFT_THANKS_ANGRY				;Ваш скромный подарок был замечен
GIFT_THANKS_NEUTRAL				;Благодарю вас за ваш щедрый подарок
GIFT_THANKS_FRIENDLY				;Мы рады получить ваш столь щедрый подарок!
GIFT_PROPOSE				;Какой подарок вы имеете в виду?

WAR_DECLARE_RESPONSE_ANGRY		;Мы с нетерпением ждем, когда превратим вашу никчемную империю в прах!
WAR_DECLARE_RESPONSE_NEUTRAL		;Да будет так. Готовьтесь защищаться!
WAR_DECLARE_RESPONSE_FRIENDLY		;Тут должна быть какая-то ошибка! Что мы сделали, чтобы оскорбить вас?! Разве мы больше не друзья?
