'System names

Альфа Кассиэда, Аракс, Бета Капола, Бита Дасолун, Бетилоси,
Лиреа Кессел, Литур, Леентаар, Лумабо, Лульнар,
Лундур, Люремакс, Мару Пасдо, Малтур, Мантарран
Маредон, Миредиан, Меларейн, Муурджа, Муриллеа,
Монлале Мафер, Нарг, Ниспес, Нуролак, Нутуэн,
Убас, Убриидаан, Угут Тир, Улабреа, Уукбат,
Упхедираан, Урд Вилан, Утранту, Пантулумен, Пиндаре,
Пиргетур, Пульманар, Пурос Веда, Прукупеа, Рамсес Каллу,
Руунадан, Сакрея, Сапилла, Сарафор, Саррансит,
Сидисеа, Сикуша, Сирмиеа, Систууэни, Сиваркус,
Шадура, Шатуна, Шаома Хи, Шецетара, Сефоке,
Сенкар, Сиибу, Суланос, Сумув Рет, Суруэна,
Срелур, Стинус, Сондаре, Сай-Мирт, Талисеа,
Тангрини, Тар Мурдин, Тасарек, Таштур Синика, Танта Зелбра,
Такваа, Тебрэн, Тебру, Теналлес, Терак Монда,
Тудереом, Тугуменда, Турвек, Тран Мареил, Трантилилекс,
Трассетан, Триллар Яйган, Трендиллу, Третун, Титхун,
Олабус, Ольтаар, Омбара, Оразун, Отпао,
Ундос, Отарес, Варленаар, Вилабре, Виладени,
Вилмууэни, Вилосеа, Винааре, Винтууэни, Вирдант,
Вистар, Векундур, Вубус, Вун-Алаэ, Вурейн,
Виккус, Вигу, Вуустре, Воккар, Ха Фил,
Картон, Сю, Ябларе, Яселур, Ирфуня,
Йитнес, Йитур, Юрн Скат, Йогаме, Йолант,
Зарацандир, Зиколай, Зыgirea, Зурбеа, Зероласт,
Аар, Кеннагар, Актхул, Б’кнус, Оцеу,
Абсет, Идагун, Адаре, Адарлуун, Рефтал,
Миюмар, Митос, Н'зут, Наджарка, Нанта-Ре,
Куурнахт, Нар Шаддос, Дирра, Наррант, Дра,
Натунату, Ниб, Курбен, Детано, Ниилгаэмун,
Нинтан, Осис, Неиот, Немба, Нембан,
Нугдра, Нурвал, Нобеа, Убтрикта, Иксюдин,
Удус, Сайблун, Уланже, Алгара, Ротал,
Кхандрела, Джавен, Ууву, Упетиехр, Оранассиан,
Урд Эбанна, Урд Пардран, Урд Трейс, Уреллон, Урту,
Эксиун, Уссил, Ута, Уттитан, Пайкан,
Пакуоне, Либия, Панту, Патрим, Писмимбин,
Паакри, Перек, Перул, Пудирес, Киланун,
Пракслес, Пруксема Дебал, Зуккарб, Урукаблис, Курестал,
Рафа, Риигиан, Рилтууэни, Ринатасеа, Риндула,
Риттна, Риосс, Каренда, Карусе, Риндалиун,
Сипан, Руки, Йенкурр, Роан, Ротеан,
Намарини, Саккурея, Силаггес, Сукурру, Муруби,
Таллан, Баралуо, Тарсонт, Татронг, Таниом,
Тела, Илрууд, Тэфнил, Тукмеа, Туула,
Гаккиреан, Виллацея, Веннакс, Се'Клаата, Вудран,
Бривуст, Бронии, Библ, Кинтарис, Халкидун,
Кармат, Харун, Даидалун, Данур, Дила,
Ипесул, Иссуун, Фалтир, Фюдус, Гандулу,
Халмат, Хапис, Эскалун, Клудар, Локазик,
Агамар, Ануат, Виргиссу, Биспен, Мостафар,
